,x,y,label,clusters,new_clusters,true_class,predicted_class,errors
0,-7.139745877361125,-0.30616570084925543,0,0,-1,1.0,0.0,1.0
1,-3.0039951559550713,4.753761441482947,3,0,-1,0.0,1.0,1.0
2,-1.083713624877818,-9.06170110949177,1,0,-1,1.0,1.0,0.0
3,-2.3557276560746314,-8.342408245938524,2,0,-1,0.0,1.0,1.0
4,-5.842445118321981,5.701035596473544,3,0,-1,0.0,1.0,1.0
5,-3.9260078550555786,-6.940637361695104,2,0,-1,0.0,0.0,0.0
6,-0.1663405956666229,-7.402156688997789,1,0,-1,1.0,1.0,0.0
7,-3.2267097486897054,-8.582112136088211,2,0,-1,0.0,1.0,1.0
8,0.381039383767091,-6.223605329808024,1,0,-1,1.0,0.0,1.0
9,-4.238737827854136,-7.34323193924904,2,0,-1,1.0,0.0,1.0
10,-2.197297647429043,-6.606457668967169,2,0,-1,1.0,0.0,1.0
11,-7.646332384063076,-2.0111238096924837,0,0,-1,1.0,1.0,0.0
12,-4.7164972065032815,-7.751176676124091,2,0,-1,1.0,1.0,0.0
13,0.7366822111089875,-8.810409802634386,1,0,-1,0.0,1.0,1.0
14,-4.737582949316053,-7.841919148230749,2,0,-1,0.0,1.0,1.0
15,-3.8463925154368885,4.755450200994979,3,0,-1,1.0,1.0,0.0
16,-5.261528666736453,3.632154027575438,3,0,-1,1.0,0.0,1.0
17,-2.27551061711938,2.7259296572195817,3,0,-1,1.0,1.0,0.0
18,-2.284120149283412,5.5870835498167715,3,0,-1,1.0,1.0,0.0
19,-4.417921640027526,4.5547432145837305,3,0,-1,1.0,0.0,1.0
20,-4.036076750421561,4.844480521919949,3,0,-1,0.0,1.0,1.0
21,-1.8370775593005895,-8.82985105559314,1,0,-1,1.0,0.0,1.0
22,-3.4830155138279886,-6.51822081513661,2,0,-1,1.0,0.0,1.0
23,-6.591662266350239,0.9745060067347097,0,0,-1,1.0,1.0,0.0
24,-4.751303447578763,-8.826362883804274,2,0,-1,1.0,1.0,0.0
25,-7.761188785694177,0.18672743777440473,0,0,-1,1.0,1.0,0.0
26,-6.460678996841193,0.9288121386278595,0,0,-1,1.0,1.0,0.0
27,-4.033144213100369,3.8545913114737207,3,0,-1,1.0,0.0,1.0
28,-3.5325779234352406,3.1802702976687067,3,0,-1,1.0,1.0,0.0
29,-0.3110286276023502,-8.773725550034824,1,0,-1,0.0,0.0,0.0
30,-4.542138353151909,-8.145784968611775,2,0,-1,1.0,1.0,0.0
31,-5.062130185434201,-8.001863211046233,2,0,-1,1.0,1.0,0.0
32,-3.0009237013331527,3.890472807992692,3,0,-1,1.0,0.0,1.0
33,-9.108896521911532,-0.621947479813749,0,0,-1,1.0,0.0,1.0
34,-4.959863722886913,3.662037690076924,3,0,-1,1.0,1.0,0.0
35,-0.7154667796146965,-8.57341445659338,1,0,-1,1.0,0.0,1.0
36,0.03413076897620859,-8.004766849953855,1,0,-1,1.0,1.0,0.0
37,-3.485832998517347,-8.465322961591482,2,0,-1,0.0,0.0,0.0
38,-7.894669371726024,2.152395514747379,0,0,-1,1.0,0.0,1.0
